words_count,words_average_size,1st_word,1st_occurence,1st_word_percentage,2nd_word,2nd_occurence,2nd_word_percentage,3rd_word,3rd_occurence,3rd_word_percentage,4th_word,4th_occurence,4th_word_percentage,5th_word,5th_occurence,5th_word_percentage,longest_word,longest_word_length,unique_word_percentage,Explicitness
496,4.089285714285714,na,27,5.443548387096774,Na,23,4.637096774193548,nanana,20,4.032258064516129,nanana,18,3.629032258064516,na,9,1.814516129032258,bulletproof,11,30.846774193548388,0
335,4.519230769230769,but,10,2.985074626865672,that,6,1.791044776119403,me,6,1.791044776119403,Sometimes,6,1.791044776119403,lasts,6,1.791044776119403,bittersweet,11,18.208955223880597,0
373,4.285714285714286,better,28,7.506702412868632,run,27,7.238605898123325,with,16,4.289544235924933,All,14,3.753351206434316,other,14,3.753351206434316,Rururururun,11,17.694369973190348,0
378,4.333333333333333,love,44,11.640211640211641,like,22,5.8201058201058204,baby,20,5.291005291005291,I,18,4.761904761904762,song,18,4.761904761904762,repeatpeatpeatpeatpeatpeat,26,18.51851851851852,0
397,4.681818181818182,doesnt,17,4.282115869017632,kill,17,4.282115869017632,What,14,3.526448362720403,makes,14,3.526448362720403,stronger,11,2.770780856423174,brokenhearted,13,14.861460957178842,0
466,4.220779220779221,beat,12,2.575107296137339,tonight,11,2.3605150214592276,tonight,10,2.1459227467811157,alright,10,2.1459227467811157,Ohohoh,10,2.1459227467811157,Galifianakis,12,15.879828326180258,0
332,3.8493150684931505,glad,13,3.9156626506024095,came,10,3.0120481927710845,me,10,3.0120481927710845,me,8,2.4096385542168677,out,6,1.8072289156626506,somewhere,9,0.0,0
220,4.580645161290323,thousand,10,4.545454545454546,have,8,3.6363636363636362,love,6,2.727272727272727,loved,5,2.272727272727273,years,5,2.272727272727273,thousand,8,16.363636363636363,0
391,4.6875,Who,33,8.439897698209718,says,26,6.649616368286445,youre,24,6.138107416879795,not,19,4.859335038363171,Nananana,8,2.0460358056265986,presidential,12,17.647058823529413,0
241,4.5675675675675675,para,27,11.203319502074688,paradise,17,7.053941908713693,Oohoohooh,8,3.319502074688797,oohoohooh,8,3.319502074688797,Para,8,3.319502074688797,paraparadise,12,15.767634854771785,0
379,4.473684210526316,With,15,3.9577836411609497,you,15,3.9577836411609497,mistletoe,13,3.430079155672823,with,11,2.9023746701846966,Shawty,10,2.638522427440633,underneath,10,16.886543535620053,0
568,3.870967741935484,oh,56,9.859154929577464,me,23,4.049295774647887,girl,17,2.992957746478873,play,17,2.992957746478873,loud,11,1.9366197183098592,spotlight,9,19.718309859154928,0
237,4.2,Dont,18,7.594936708860759,me,16,6.751054852320675,tonguetied,9,3.7974683544303796,leave,9,3.7974683544303796,take,8,3.3755274261603376,tonguetied,10,15.189873417721518,0
205,3.8095238095238093,oh,15,7.317073170731708,love,11,5.365853658536586,me,11,5.365853658536586,Oh,9,4.390243902439025,oh,9,4.390243902439025,waiting,7,12.682926829268293,0
544,4.673469387755102,shake,22,4.044117647058823,Shake,20,3.676470588235294,me,19,3.4926470588235294,girl,18,3.3088235294117645,me,12,2.2058823529411766,honkytonks,10,17.095588235294116,0
506,4.590361445783133,me,18,3.5573122529644268,Novocaine,15,2.964426877470356,feel,11,2.1739130434782608,cant,10,1.976284584980237,numb,7,1.383399209486166,oohhuhhuhhuhhuh,15,26.08695652173913,1
580,3.951219512195122,that,18,3.103448275862069,just,10,1.7241379310344827,we,7,1.206896551724138,say,6,1.0344827586206897,know,6,1.0344827586206897,something,9,25.0,0
701,3.8316831683168315,out,12,1.7118402282453637,see,11,1.5691868758915835,thing,11,1.5691868758915835,girl,11,1.5691868758915835,is,10,1.4265335235378032,overpriced,10,16.83309557774608,0
349,4.609375,And,15,4.2979942693409745,fly,9,2.5787965616045847,go,6,1.7191977077363896,outside,6,1.7191977077363896,face,4,1.146131805157593,Motherland,10,18.911174785100286,0
294,5.0227272727272725,yeah,19,6.462585034013605,been,15,5.1020408163265305,have,14,4.761904761904762,all,13,4.421768707482993,Where,12,4.081632653061225,Yeahyeahyeahyeahyeah,20,6.462585034013605,0
307,4.245283018867925,baby,7,2.2801302931596092,no,7,2.2801302931596092,if,7,2.2801302931596092,you,7,2.2801302931596092,If,6,1.9543973941368078,troublesome,11,25.732899022801302,0
404,4.527777777777778,me,22,5.445544554455446,baby,15,3.712871287128713,like,14,3.4653465346534653,dancin,9,2.227722772277228,moonlight,9,2.227722772277228,Oohoohoohooh,12,6.683168316831683,0
328,4.761904761904762,Woahohohoh,12,3.658536585365854,think,8,2.4390243902439024,about,8,2.4390243902439024,Springsteen,6,1.829268292682927,Woahohohohohohoh,6,1.829268292682927,Woahohohohohohoh,16,33.84146341463415,0
650,4.046875,this,37,5.6923076923076925,born,33,5.076923076923077,was,29,4.461538461538462,way,29,4.461538461538462,track,16,2.4615384615384617,disabilities,12,16.153846153846153,0
126,4.5,Sail,20,15.873015873015873,with,5,3.9682539682539684,ADD,4,3.1746031746031744,baby,4,3.1746031746031744,Maybe,4,3.1746031746031744,Lalalalala,10,19.841269841269842,0
509,4.17741935483871,know,24,4.715127701375246,know,19,3.732809430255403,that,14,2.75049115913556,They,12,2.357563850687623,like,8,1.5717092337917484,accomplishments,15,26.522593320235757,0
338,4.0,love,13,3.8461538461538463,with,8,2.366863905325444,And,8,2.366863905325444,He,6,1.7751479289940828,hes,6,1.7751479289940828,unpredictable,13,14.792899408284024,0
676,4.0,when,18,2.662721893491124,show,17,2.514792899408284,goes,16,2.366863905325444,up,14,2.0710059171597632,ever,10,1.4792899408284024,Unaffected,10,23.5207100591716,0
422,3.813953488372093,is,15,3.5545023696682465,got,14,3.3175355450236967,All,12,2.843601895734597,do,12,2.843601895734597,put,12,2.843601895734597,complicate,10,21.563981042654028,0
386,4.0212765957446805,out,21,5.4404145077720205,And,13,3.3678756476683938,all,11,2.849740932642487,Ill,11,2.849740932642487,love,11,2.849740932642487,sheltered,9,11.658031088082902,0
444,3.9272727272727272,eh,29,6.531531531531532,oh,25,5.63063063063063,And,15,3.3783783783783785,head,12,2.7027027027027026,can,12,2.7027027027027026,confidence,10,15.315315315315315,0
289,4.485714285714286,were,10,3.4602076124567476,We,9,3.114186851211073,blue,9,3.114186851211073,jean,9,3.114186851211073,night,9,3.114186851211073,barefoot,8,27.68166089965398,0
919,3.9722222222222223,with,9,0.9793253536452666,this,9,0.9793253536452666,life,9,0.9793253536452666,livin,8,0.8705114254624592,til,7,0.7616974972796517,motherfuckin,12,36.67029379760609,0
356,3.6444444444444444,not,11,3.0898876404494384,over,11,3.0898876404494384,But,7,1.9662921348314606,And,6,1.6853932584269662,doing,6,1.6853932584269662,conversation,12,21.06741573033708,0
303,3.6666666666666665,bout,12,3.9603960396039604,thinkin,11,3.6303630363036303,been,10,3.3003300330033003,do,10,3.3003300330033003,think,9,2.9702970297029703,California,10,25.082508250825082,0
409,4.032786885245901,so,20,4.88997555012225,But,14,3.4229828850855744,me,14,3.4229828850855744,call,13,3.1784841075794623,maybe,12,2.93398533007335,Pennies,7,8.06845965770171,0
443,4.507692307692308,like,17,3.8374717832957113,youre,14,3.160270880361174,so,13,2.9345372460496613,classic,12,2.708803611738149,Baby,10,2.2573363431151243,throwbackish,12,22.799097065462753,0
308,4.085714285714285,where,12,3.896103896103896,demons,12,3.896103896103896,hide,9,2.9220779220779223,we,7,2.272727272727273,Its,7,2.272727272727273,masquerade,10,25.0,0
394,3.8620689655172415,yeah,33,8.375634517766498,me,15,3.8071065989847717,Baby,14,3.553299492385787,yeah,14,3.553299492385787,take,12,3.045685279187817,Nananananananana,16,10.913705583756345,0
423,4.6571428571428575,we,21,4.964539007092198,Friday,18,4.25531914893617,Last,12,2.8368794326241136,night,12,2.8368794326241136,yeah,9,2.127659574468085,blackedout,10,11.82033096926714,0
533,3.810810810810811,get,34,6.378986866791744,good,19,3.5647279549718576,feeling,17,3.189493433395872,yeah,17,3.189493433395872,never,16,3.0018761726078798,adrenaline,10,26.078799249530956,0
399,4.019607843137255,me,22,5.513784461152882,trouble,16,4.010025062656641,when,11,2.756892230576441,knew,8,2.0050125313283207,were,8,2.0050125313283207,drowninginginginging,20,16.791979949874687,0
428,4.524590163934426,dont,17,3.97196261682243,know,12,2.803738317757009,else,10,2.336448598130841,youre,9,2.102803738317757,at,8,1.8691588785046729,overwhelmed,11,9.57943925233645,0
488,4.27536231884058,more,13,2.6639344262295084,one,12,2.459016393442623,go,11,2.2540983606557377,night,11,2.2540983606557377,Ill,10,2.0491803278688523,dysfunctional,13,12.295081967213115,0
368,4.380952380952381,ever,14,3.8043478260869565,back,13,3.532608695652174,ever,12,3.260869565217391,together,12,3.260869565217391,talk,12,3.260869565217391,Oohoohoohoohoohooh,18,25.27173913043478,0
531,4.157894736842105,whistle,32,6.0263653483992465,baby,22,4.143126177024482,blow,13,2.4482109227871938,Can,12,2.2598870056497176,baby,12,2.2598870056497176,Whiwhistle,10,20.715630885122412,0
325,4.019230769230769,treasure,12,3.6923076923076925,Oh,9,2.769230769230769,You,9,2.769230769230769,you,8,2.4615384615384617,You,8,2.4615384615384617,motherfucker,12,11.384615384615385,0
304,4.288461538461538,all,10,3.289473684210526,When,6,1.9736842105263157,just,5,1.644736842105263,too,5,1.644736842105263,was,5,1.644736842105263,apologize,9,23.68421052631579,0
279,4.571428571428571,everybody,13,4.659498207885305,talks,12,4.301075268817204,talks,8,2.867383512544803,me,7,2.5089605734767026,Everybody,7,2.5089605734767026,prescription,12,15.053763440860216,0
325,3.942857142857143,you,10,3.076923076923077,love,9,2.769230769230769,little,8,2.4615384615384617,things,8,2.4615384615384617,And,7,2.1538461538461537,conversations,13,22.76923076923077,0
227,4.9375,new,12,5.286343612334802,Welcome,6,2.643171806167401,age,6,2.643171806167401,age,6,2.643171806167401,Woahoh,6,2.643171806167401,radioactive,11,13.656387665198238,0
407,4.176470588235294,Oh,9,2.211302211302211,is,9,2.211302211302211,me,7,1.71990171990172,swear,6,1.4742014742014742,Ill,6,1.4742014742014742,overwhelmed,11,14.987714987714988,0
290,4.424242424242424,try,30,10.344827586206897,get,18,6.206896551724138,up,15,5.172413793103448,try,15,5.172413793103448,there,10,3.4482758620689653,Sometimes,9,16.896551724137932,0
374,4.675,like,38,10.16042780748663,bright,24,6.4171122994652405,diamond,24,6.4171122994652405,Shine,20,5.347593582887701,Were,14,3.7433155080213902,beautiful,9,7.4866310160427805,0
218,4.083333333333333,belong,13,5.963302752293578,with,12,5.504587155963303,Ho,9,4.128440366972477,Hey,8,3.669724770642202,me,8,3.669724770642202,sweetheart,10,27.522935779816514,0
471,4.190476190476191,hey,16,3.397027600849257,up,12,2.5477707006369426,top,11,2.335456475583864,this,9,1.910828025477707,Ive,8,1.6985138004246285,something,9,10.19108280254777,0
403,4.211538461538462,were,18,4.4665012406947895,live,15,3.7220843672456576,while,15,3.7220843672456576,young,15,3.7220843672456576,we,14,3.4739454094292803,celebration,11,9.925558312655086,0
342,3.8333333333333335,get,19,5.555555555555555,out,14,4.093567251461988,that,12,3.508771929824561,one,12,3.508771929824561,thing,12,3.508771929824561,Somethings,10,11.403508771929825,0
287,3.96875,stand,14,4.878048780487805,sky,13,4.529616724738676,will,13,4.529616724738676,Let,9,3.1358885017421603,fall,9,3.1358885017421603,crumbles,8,20.209059233449477,0
417,4.196969696969697,me,21,5.0359712230215825,love,12,2.8776978417266186,all,12,2.8776978417266186,Bring,8,1.9184652278177459,baby,8,1.9184652278177459,motherfucking,13,14.86810551558753,0
853,4.140186915887851,up,19,2.2274325908558033,Drank,16,1.8757327080890973,Drank,16,1.8757327080890973,then,13,1.5240328253223916,full,13,1.5240328253223916,overinfluenced,14,24.15005861664713,0
403,3.75,me,23,5.707196029776675,is,15,3.7220843672456576,youre,14,3.4739454094292803,gonna,14,3.4739454094292803,away,12,2.977667493796526,everything,10,17.121588089330025,0
407,4.380952380952381,never,17,4.176904176904177,Id,14,3.43980343980344,was,12,2.9484029484029484,let,12,2.9484029484029484,If,8,1.9656019656019657,girlfriend,10,24.078624078624077,0
536,3.6805555555555554,oh,38,7.08955223880597,nights,9,1.6791044776119404,come,9,1.6791044776119404,Oh,8,1.492537313432836,oh,8,1.492537313432836,understands,11,25.746268656716417,0
402,4.652777777777778,like,17,4.2288557213930345,about,11,2.736318407960199,dont,9,2.2388059701492535,know,9,2.2388059701492535,feels,8,1.9900497512437811,heartbreaks,11,12.686567164179104,0
314,4.08,dont,9,2.8662420382165603,never,8,2.5477707006369426,time,6,1.910828025477707,am,6,1.910828025477707,Its,5,1.5923566878980893,commodities,11,13.375796178343949,0
625,3.7205882352941178,she,25,4.0,mind,23,3.68,doesnt,21,3.36,got,17,2.72,me,16,2.56,temperature,11,11.68,0
306,3.577777777777778,up,9,2.9411764705882355,wont,6,1.9607843137254901,give,6,1.9607843137254901,us,6,1.9607843137254901,still,5,1.6339869281045751,differences,11,27.45098039215686,0
425,4.27027027027027,love,47,11.058823529411764,me,34,8.0,let,31,7.294117647058823,Girl,26,6.117647058823529,that,12,2.823529411764706,understand,10,11.529411764705882,0
465,3.92,all,12,2.5806451612903225,was,11,2.3655913978494625,there,11,2.3655913978494625,And,9,1.935483870967742,remember,9,1.935483870967742,refrigerator,12,32.68817204301075,0
301,4.037037037037037,hard,14,4.651162790697675,love,13,4.318936877076412,me,12,3.9867109634551494,love,12,3.9867109634551494,that,10,3.3222591362126246,insensitive,11,15.614617940199336,0
754,4.018518518518518,boy,21,2.7851458885941645,boys,18,2.387267904509284,with,13,1.7241379310344827,broke,13,1.7241379310344827,that,12,1.5915119363395225,motherfuckers,13,21.883289124668433,0
395,4.076923076923077,Were,9,2.278481012658228,higher,9,2.278481012658228,than,9,2.278481012658228,motherfucka,9,2.278481012658228,Ohohohoh,8,2.0253164556962027,hooptyhooptyhoop,16,21.0126582278481,0
521,4.476190476190476,that,23,4.414587332053743,countin,15,2.8790786948176583,been,14,2.6871401151631478,been,14,2.6871401151631478,well,11,2.111324376199616,Everything,10,7.677543186180422,0
371,4.782051282051282,And,9,2.4258760107816713,We,9,2.4258760107816713,me,9,2.4258760107816713,Ill,9,2.4258760107816713,dont,7,1.8867924528301887,Bloodstains,11,13.20754716981132,0
571,4.056338028169014,we,74,12.959719789842381,can,26,4.553415061295972,want,23,4.028021015761821,our,19,3.327495621716287,who,19,3.327495621716287,ladadidadi,10,11.908931698774081,0
1049,4.236363636363636,You,40,3.813155386081983,love,34,3.2411820781696856,are,33,3.145853193517636,life,33,3.145853193517636,oh,22,2.0972354623450906,reflections,11,6.3870352716873215,0
307,4.054054054054054,me,18,5.863192182410423,when,12,3.9087947882736156,still,11,3.583061889250814,love,11,3.583061889250814,Will,10,3.257328990228013,Channeling,10,19.54397394136808,0
194,4.5,Oh,9,4.639175257731959,if,9,4.639175257731959,Theres,7,3.6082474226804124,Hey,6,3.0927835051546393,sky,5,2.577319587628866,rediscover,10,4.639175257731959,0
280,4.0344827586206895,safe,18,6.428571428571429,sound,18,6.428571428571429,could,13,4.642857142857143,Were,13,4.642857142857143,Safe,9,3.2142857142857144,underground,11,8.571428571428571,0
480,3.7758620689655173,yeah,20,4.166666666666667,oh,19,3.9583333333333335,song,13,2.7083333333333335,ever,13,2.7083333333333335,we,12,2.5,something,9,8.333333333333334,0
430,4.017543859649122,Id,15,3.488372093023256,think,13,3.0232558139534884,have,13,3.0232558139534884,heart,13,3.0232558139534884,attack,10,2.3255813953488373,basketball,10,20.46511627906977,0
350,4.68,me,18,5.142857142857143,hear,17,4.857142857142857,Ohohohohohohoh,15,4.285714285714286,gonna,13,3.7142857142857144,roar,12,3.4285714285714284,Ohohohohohohoh,14,13.428571428571429,0
335,4.32,me,14,4.17910447761194,wreck,9,2.6865671641791047,ever,8,2.388059701492537,All,8,2.388059701492537,was,8,2.388059701492537,wrecking,8,10.447761194029852,0
265,4.054054054054054,know,18,6.7924528301886795,me,16,6.037735849056604,love,15,5.660377358490566,Can,12,4.528301886792453,again,12,4.528301886792453,unforgivable,12,12.452830188679245,0
407,4.340909090909091,ohoh,24,5.896805896805897,is,22,5.405405405405405,beat,20,4.914004914004914,This,18,4.422604422604422,heart,14,3.43980343980344,philosophies,12,13.267813267813267,0
348,3.909090909090909,too,7,2.0114942528735633,hands,6,1.7241379310344827,cold,6,1.7241379310344827,holes,6,1.7241379310344827,sweater,6,1.7241379310344827,highwaisted,11,27.011494252873565,0
480,4.358974358974359,Black,15,3.125,shit,9,1.875,God,8,1.6666666666666667,aint,7,1.4583333333333333,But,6,1.25,conservative,12,16.666666666666668,1
393,4.061538461538461,that,9,2.2900763358778624,wanna,6,1.5267175572519085,both,6,1.5267175572519085,back,6,1.5267175572519085,That,5,1.272264631043257,constantly,10,24.173027989821882,0
251,3.8214285714285716,Voy,15,5.9760956175298805,voy,13,5.179282868525896,vida,11,4.382470119521912,Vivir,10,3.9840637450199203,mi,10,3.9840637450199203,encontrar,9,14.741035856573705,0
207,4.173913043478261,love,11,5.314009661835748,unconditionally,9,4.3478260869565215,will,9,4.3478260869565215,just,7,3.3816425120772946,is,4,1.932367149758454,unconditionally,15,26.570048309178745,0
413,4.6415094339622645,Bound,12,2.9055690072639226,fall,8,1.937046004842615,love,8,1.937046004842615,Uhhuh,6,1.4527845036319613,honey,6,1.4527845036319613,whatwedodonttellyourmom,23,34.38256658595642,0
266,3.942857142857143,like,9,3.3834586466165413,can,9,3.3834586466165413,We,7,2.6315789473684212,come,6,2.255639097744361,between,5,1.8796992481203008,different,9,19.172932330827066,0
330,4.2105263157894735,talk,15,4.545454545454546,about,15,4.545454545454546,Shouldnt,9,2.727272727272727,want,8,2.4242424242424243,never,8,2.4242424242424243,controllin,10,13.333333333333334,0
359,3.6470588235294117,mama,24,6.685236768802229,rock,17,4.735376044568246,me,16,4.456824512534819,me,14,3.8997214484679668,like,12,3.3426183844011144,southbound,10,27.01949860724234,0
1544,3.980132450331126,like,15,0.9715025906735751,that,15,0.9715025906735751,me,12,0.7772020725388601,get,11,0.7124352331606217,as,11,0.7124352331606217,dippityhippity,14,35.68652849740933,1
430,4.288135593220339,play,18,4.186046511627907,again,16,3.7209302325581395,was,13,3.0232558139534884,she,10,2.3255813953488373,She,8,1.8604651162790697,headlights,10,20.0,0
410,4.306451612903226,Eheheu,16,3.902439024390244,eheu,16,3.902439024390244,eheu,16,3.902439024390244,eheheu,16,3.902439024390244,eheu,9,2.1951219512195124,optimist,8,6.829268292682927,0
364,4.254545454545455,call,16,4.395604395604396,out,9,2.4725274725274726,Send,8,2.197802197802198,out,8,2.197802197802198,send,8,2.197802197802198,announced,9,20.604395604395606,0
300,4.2272727272727275,do,15,5.0,it,10,3.3333333333333335,me,8,2.6666666666666665,oh,8,2.6666666666666665,Midnight,6,2.0,different,9,23.666666666666668,0
425,5.382352941176471,that,15,3.5294117647058822,touch,14,3.2941176470588234,touch,14,3.2941176470588234,Make,13,3.0588235294117645,real,13,3.0588235294117645,Oohwoooohoohoohoohooh,21,13.882352941176471,0
956,3.966386554621849,that,27,2.8242677824267783,up,19,1.9874476987447698,real,13,1.3598326359832635,shit,12,1.2552301255230125,me,12,1.2552301255230125,raptopayyourbills,17,28.13807531380753,1
381,4.041666666666667,wanna,30,7.874015748031496,see,27,7.086614173228346,just,18,4.724409448818897,brave,11,2.8871391076115485,And,9,2.3622047244094486,disappearing,12,21.522309711286088,0
302,3.8846153846153846,cool,24,7.947019867549669,kids,18,5.960264900662252,could,13,4.304635761589404,wish,12,3.9735099337748343,that,12,3.9735099337748343,invincible,10,16.556291390728475,0
388,4.074074074074074,kind,11,2.8350515463917527,up,8,2.0618556701030926,down,7,1.8041237113402062,night,7,1.8041237113402062,that,6,1.5463917525773196,countryrock,11,20.103092783505154,0
406,4.0227272727272725,when,32,7.8817733990147785,her,28,6.896551724137931,Only,25,6.157635467980295,know,15,3.6945812807881775,let,15,3.6945812807881775,understand,10,8.866995073891626,0
280,4.3,that,12,4.285714285714286,all,10,3.5714285714285716,did,9,3.2142857142857144,every,8,2.857142857142857,Hope,7,2.5,woahohohoh,10,15.714285714285714,0
226,3.7058823529411766,me,11,4.867256637168142,love,10,4.424778761061947,say,8,3.5398230088495577,Know,8,3.5398230088495577,more,8,3.5398230088495577,matrimony,9,27.876106194690266,0
297,4.029411764705882,so,11,3.7037037037037037,not,11,3.7037037037037037,Is,10,3.367003367003367,me,7,2.356902356902357,wrong,7,2.356902356902357,weightless,10,20.53872053872054,0
369,4.125,youre,25,6.775067750677507,get,18,4.878048780487805,When,17,4.607046070460704,ready,16,4.336043360433604,come,12,3.252032520325203,invitation,10,14.363143631436314,0
414,4.62,me,26,6.280193236714976,will,14,3.3816425120772946,You,13,3.140096618357488,And,12,2.898550724637681,call,10,2.4154589371980677,Yeahyeahyeahyeah,16,8.454106280193237,0
377,4.6571428571428575,up,36,9.549071618037136,em,18,4.774535809018568,up,18,4.774535809018568,Light,12,3.183023872679045,dark,10,2.6525198938992043,ohohohohohohoh,14,20.689655172413794,0
534,3.630434782608696,Aint,20,3.745318352059925,go,19,3.5580524344569286,real,18,3.3707865168539324,Dont,18,3.3707865168539324,cryin,18,3.3707865168539324,anybodys,8,12.546816479400748,0
379,4.322033898305085,holdin,13,3.430079155672823,two,12,3.1662269129287597,three,12,3.1662269129287597,tonight,12,3.1662269129287597,just,9,2.37467018469657,chandelier,10,8.970976253298153,0
